stop_id,name,lat,lon,parent_id
200001,GOETHALS RD N/ADMIN PARKING LOT,  40.628713, -74.182687,200001
200008,RICHMOND TER/SOUTH AV,  40.640108, -74.165755,200008
200009,RICHMOND TER/POST LA,  40.639539, -74.164417,200009
200010,RICHMOND TER/ANDROS AV,  40.637910, -74.162089,200010
200011,RICHMOND TER/HARBOR RD,  40.636990, -74.159932,200011
200013,RICHMOND TER/VAN PELT AV,  40.636747, -74.154887,200013
200014,RICHMOND TER/DAVIS AV,  40.644712, -74.110734,200014
200015,RICHMOND TER/LAKE AV,  40.637017, -74.150200,200015
200016,RICHMOND TER/HOUSEMAN AV,  40.637272, -74.148716,200016
200017,RICHMOND TER/GRANITE AV,  40.637568, -74.146753,200017
200018,RICHMOND TER/MORNINGSTAR RD,  40.637856, -74.144927,200018
200019,RICHMOND TER/JOHN ST,  40.638954, -74.142353,200019
200020,RICHMOND TER/NICHOLAS AV,  40.639616, -74.139389,200020
200021,RICHMOND TER/SHARPE AV,  40.640133, -74.136785,200021
200022,RICHMOND TER/FABER ST,  40.640226, -74.134746,200022
200023,RICHMOND TER/MAPLE AV,  40.640269, -74.133301,200023
200025,RICHMOND TER/HEBERTON AV,  40.638978, -74.129443,200025
200026,RICHMOND TER/JEWETT AV,  40.637650, -74.128853,200026
200027,RICHMOND TER/RECTOR ST,  40.637187, -74.127386,200027
200028,RICHMOND TER/BODINE ST,  40.637142, -74.125851,200028
200029,RICHMOND TER/TAYLOR ST,  40.637755, -74.123635,200029
200030,RICHMOND TER/ALASKA ST,  40.638978, -74.121851,200030
200031,RICHMOND TER/TOMPKINS CT,  40.640151, -74.120700,200031
200032,RICHMOND TER/BROADWAY,  40.640799, -74.117264,200032
200033,RICHMOND TER/N BURGHER AV,  40.641784, -74.115500,200033
200034,RICHMOND TER/BEMENT AV,  40.642716, -74.113963,200034
200035,RICHMOND TER/DAVIS AV,  40.644473, -74.110946,200014
200036,RICHMOND TER/BARD AV,  40.645002, -74.108868,200036
200037,RICHMOND TER/SAILORS S H GATE,  40.645033, -74.101931,200037
200038,RICHMOND TER/CLINTON AV,  40.644602, -74.098129,200038
200040,RICHMOND TER/FRANKLIN AV,  40.645389, -74.092952,200040
200041,RICHMOND TER/JERSEY ST,  40.646853, -74.088536,200041
200042,RICHMOND TER/WESTERVELT AV,  40.647757, -74.086966,200042
200043,RICHMOND TER/ST PETERS PL,  40.648069, -74.084221,200043
200044,RICHMOND TER/NICHOLAS ST,  40.647292, -74.081124,200044
200045,RICHMOND TER/STUYVESANT PL,  40.646031, -74.078391,200045
200046,RICHMOND TER/WALL ST,  40.644034, -74.076681,200046
200047,RICHMOND TER/SCHUYLER ST,  40.643140, -74.076006,200047
200050,RICHMOND TER/WALL ST,  40.644786, -74.076948,200046
200051,RICHMOND TER/STUYVESANT PL,  40.646355, -74.078440,200045
200052,RICHMOND TER/NICHOLAS ST,  40.647438, -74.080753,200044
200053,RICHMOND TER/ST PETERS PL,  40.648358, -74.084593,200043
200054,RICHMOND TER/WESTERVELT AV,  40.647418, -74.087873,200042
200055,RICHMOND TER/JERSEY ST,  40.646592, -74.089208,200041
200056,RICHMOND TER/FRANKLIN AV,  40.645589, -74.092765,200040
